pos,@Apple will be adding more carrier support to the iPhone 4S (just announced)
pos,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
pos,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
pos,I just realized that the reason I got into twitter was ios5 thanks @apple
pos,I'm a current @Blackberry user little bit disappointed with it! Should I move to @Android or @Apple @iphone
pos,From which companies do you experience the best customer service aside from @zappos and @apple?
pos,Just apply for a job at @Apple hope they call me lol
pos,RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...
pos,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
pos,RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help greatly appreciated!
pos,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
pos,Just registered as an @apple developer... Here's hoping I can actually do it... Any help greatly appreciated!
pos, ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps
pos,Hey @apple if you send me a free iPhone (any version will do) I will publicly and ceremoniously burn my #BlackBerry.
pos,Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards
pos,Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today out of warranty.
pos,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
pos,@apple..good ipad
pos,@apple @siri is efffing amazing!!
pos,Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM
pos,We're one of a few Featured Education Apps on the @Apple **Website** today sweet! http://t.co/0yWvbe1Z
pos,When you want something done right you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered
pos,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
pos,&lt;3 #ios5 @apple
